Company,Face,Age,Cartoon,Vape_Type,Brightness_Level,Dominant_COLOR,Label
INNOKIN,No,N/A,Yes,electronic-cigarette,3,Indigo,0
INNOKIN,Yes,(25-32),Yes,electronic-cigarette,6,Indigo,1
INNOKIN,No,N/A,Yes,None,5,Violet,0
INNOKIN,Yes,(0-2),Yes,mod,6,Indigo,1
INNOKIN,No,N/A,Yes,mod,6,Orange,1
INNOKIN,No,N/A,Yes,mod,5,Indigo,0
INNOKIN,Yes,(25-32),Yes,None,5,Indigo,0
INNOKIN,Yes,(25-32),Yes,mod,6,Orange,1
INNOKIN,No,N/A,Yes,mod,4,Orange,1
INNOKIN,No,N/A,No,electronic-cigarette,6,Violet,1
INNOKIN,No,N/A,Yes,mod,4,Indigo,0
INNOKIN,No,N/A,Yes,electronic-cigarette,6,Violet,1
INNOKIN,No,N/A,Yes,None,6,Orange,1
INNOKIN,Yes,(25-32),Yes,None,7,Indigo,1
INNOKIN,No,N/A,Yes,mod,5,Indigo,0
INNOKIN,Yes,(25-32),Yes,None,6,Yellow,1
INNOKIN,No,N/A,Yes,None,4,Indigo,0
INNOKIN,Yes,(48-53),Yes,electronic-cigarette,6,Indigo,1
INNOKIN,No,N/A,Yes,electronic-cigarette,6,Indigo,1
INNOKIN,Yes,(25-32),No,mod,5,Indigo,0
INNOKIN,No,N/A,Yes,mod,5,Indigo,0
INNOKIN,Yes,(25-32),No,mod,7,Orange,1
INNOKIN,No,N/A,Yes,mod,6,Violet,1
INNOKIN,Yes,(38-43),Yes,None,5,Indigo,0
INNOKIN,No,N/A,Yes,mod,6,Indigo,1
INNOKIN,No,N/A,Yes,unknown,6,Indigo,1
INNOKIN,No,N/A,Yes,mod,5,Indigo,0
INNOKIN,No,N/A,Yes,None,4,Indigo,0
INNOKIN,No,N/A,Yes,mod,6,Violet,1
INNOKIN,No,N/A,Yes,None,7,Indigo,1
INNOKIN,Yes,(4-6),Yes,None,5,Indigo,0
INNOKIN,No,N/A,Yes,None,5,Indigo,0
INNOKIN,Yes,(25-32),Yes,None,6,Orange,1
INNOKIN,No,N/A,Yes,electronic-cigarette,5,Indigo,0
INNOKIN,No,N/A,Yes,unknown,6,Yellow,1
INNOKIN,No,N/A,Yes,mod,4,Indigo,0
INNOKIN,No,N/A,Yes,None,5,Indigo,0
INNOKIN,No,N/A,Yes,unknown,5,Indigo,0
INNOKIN,Yes,(48-53),No,mod,5,Indigo,0
INNOKIN,No,N/A,Yes,None,6,Indigo,1
INNOKIN,Yes,(25-32),Yes,None,5,Indigo,0
INNOKIN,No,N/A,Yes,None,3,Indigo,0
INNOKIN,No,N/A,Yes,None,5,Indigo,0
INNOKIN,No,N/A,Yes,mod,5,Indigo,0
INNOKIN,No,N/A,Yes,mod,3,Indigo,0
INNOKIN,No,N/A,Yes,unknown,6,Indigo,1
INNOKIN,No,N/A,Yes,electronic-cigarette,4,Indigo,0
INNOKIN,Yes,(0-2),Yes,mod,9,Yellow,1
INNOKIN,No,N/A,Yes,mod,5,Indigo,0
INNOKIN,Yes,(48-53),Yes,mod,3,Indigo,0
ElfBar,Yes,(0-2),Yes,mod,4,Indigo,0
ElfBar,No,N/A,Yes,mod,7,Orange,1
ElfBar,Yes,(25-32),No,None,3,Orange,1
ElfBar,Yes,(25-32),Yes,electronic-cigarette,6,Indigo,1
ElfBar,Yes,(25-32),Yes,mod,3,Indigo,0
ElfBar,No,N/A,Yes,None,5,Yellow,1
ElfBar,No,N/A,Yes,mod,5,Indigo,0
ElfBar,Yes,(4-6),Yes,mod,6,Indigo,1
ElfBar,Yes,(15-20),Yes,mod,6,Orange,1
ElfBar,No,N/A,No,electronic-cigarette,5,Indigo,0
ElfBar,No,N/A,No,mod,7,Violet,1
ElfBar,No,N/A,No,None,4,Indigo,0
ElfBar,No,N/A,Yes,mod,3,Indigo,0
ElfBar,No,N/A,No,unknown,5,Indigo,0
ElfBar,No,N/A,No,mod,7,Orange,1
ElfBar,Yes,(0-2),Yes,mod,5,Indigo,0
ElfBar,No,N/A,Yes,None,5,Indigo,0
ElfBar,No,N/A,No,mod,6,Indigo,1
ElfBar,Yes,(8-13),Yes,mod,7,Yellow,1
ElfBar,Yes,(25-32),No,mod,8,Orange,1
ElfBar,No,N/A,No,None,9,Orange,1
ElfBar,No,N/A,No,mod,6,Yellow,1
ElfBar,Yes,(8-13),No,electronic-cigarette,5,Indigo,0
ElfBar,No,N/A,Yes,None,5,Indigo,0
ElfBar,Yes,(0-2),Yes,electronic-cigarette,4,Indigo,0
ElfBar,Yes,(25-32),Yes,None,5,Indigo,0
ElfBar,No,N/A,Yes,mod,6,Indigo,1
ElfBar,No,N/A,Yes,None,7,Orange,1
ElfBar,No,N/A,Yes,mod,7,Orange,1
ElfBar,Yes,(25-32),Yes,None,6,Indigo,1
ElfBar,No,N/A,No,electronic-cigarette,5,Indigo,0
ElfBar,Yes,(25-32),No,mod,5,Indigo,0
ElfBar,Yes,(25-32),Yes,mod,6,Yellow,1
ElfBar,No,N/A,No,mod,6,Indigo,1
ElfBar,No,N/A,Yes,None,5,Violet,0
ElfBar,Yes,(25-32),Yes,mod,6,Indigo,1
